timestamp,time,temp,humidity,soil,light
1999,00:00:01,34.3,74.3,1019,788
32000,00:00:32,34.3,74.4,1018,779
62000,00:01:02,34.3,74.4,1018,784
92000,00:01:32,34.3,74.4,1020,788
122000,00:02:02,34.3,74.5,1018,798
152000,00:02:32,34.3,74.6,1018,791
182000,00:03:02,34.3,74.7,1019,779
212000,00:03:32,34.3,74.6,1019,785
242000,00:04:02,34.2,74.7,1018,750
272000,00:04:32,34.2,74.7,1018,791
182000,00:03:02,34.3,74.7,1019,779
212000,00:03:32,34.3,74.6,1019,785
242000,00:04:02,34.2,74.7,1018,750
272000,00:04:32,34.2,74.7,1018,791
302000,00:05:02,34.2,75.0,1017,792
332000,00:05:32,34.2,75.1,1019,784
362000,00:06:02,34.2,75.1,1019,794
392000,00:06:32,34.2,75.2,1019,784
422000,00:07:02,34.3,75.0,1019,784
452000,00:07:32,34.3,75.1,1019,789
482000,00:08:02,34.3,74.9,1019,772
512000,00:08:32,34.4,74.4,1019,758
542000,00:09:02,34.4,74.7,1019,795
572000,00:09:32,34.4,74.7,1019,797
602000,00:10:02,34.4,74.4,1020,796
632000,00:10:32,34.5,74.3,1019,798
662000,00:11:02,34.5,74.4,1020,801
692000,00:11:32,34.5,74.5,1019,800
722000,00:12:02,34.4,74.8,1019,800
752000,00:12:32,34.5,74.4,1019,799
782000,00:13:02,34.5,74.6,1019,800
812000,00:13:32,34.4,74.7,1018,795
842000,00:14:02,34.3,75.1,1019,796
872000,00:14:32,34.4,75.1,1018,792
902000,00:15:02,34.4,75.0,1020,800
842000,00:14:02,34.3,75.1,1019,796
872000,00:14:32,34.4,75.1,1018,792
902000,00:15:02,34.4,75.0,1020,800
932000,00:15:32,34.5,74.7,1019,801
962000,00:16:02,34.6,74.6,1020,798
992000,00:16:32,34.6,74.6,1019,798
1022000,00:17:02,34.6,74.7,1020,796
1052000,00:17:32,34.6,74.7,1019,799
1082000,00:18:02,34.6,74.8,1018,802
1112000,00:18:32,34.6,74.6,1019,801
1142000,00:19:02,34.6,74.6,1020,776
1172000,00:19:32,34.7,74.6,1020,802
1202000,00:20:02,34.7,74.4,1018,792
1232000,00:20:32,34.6,74.5,1017,797
1262000,00:21:02,34.6,74.7,1019,803
1292000,00:21:32,34.6,74.9,1017,803
1322000,00:22:02,34.6,74.7,1018,800
1352000,00:22:32,34.6,74.6,1020,803
1382000,00:23:02,34.7,74.4,1018,791
1412000,00:23:32,34.7,74.4,1018,782
1442000,00:24:02,34.6,74.7,1017,798
1472000,00:24:32,34.6,75.0,1018,796
1502000,00:25:02,34.6,74.7,1018,794
1532000,00:25:32,34.5,75.1,1018,706
1562000,00:26:02,34.5,75.4,1020,789
1592000,00:26:32,34.5,75.3,1018,806
1622000,00:27:02,34.5,75.6,1019,802
1652000,00:27:32,34.5,75.4,1018,800
1682000,00:28:02,34.4,75.4,1016,801
1712000,00:28:32,34.5,75.3,1019,805
1742000,00:29:02,34.4,75.4,1018,799
1772000,00:29:32,34.5,75.3,1018,793
DATA_COLLECTION_COMPLETE
